PNA;NAZWA PLACÓWKI;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
14-105;FUP Ostróda 1;Łukta;Warmińska;9;Łukta;ostródzki;warmińsko-mazurskie
14-140;FUP Ostróda 1;Miłomłyn;Twarda;3;Miłomłyn;ostródzki;warmińsko-mazurskie
14-102;FUP Ostróda 1;Ostróda;Grunwaldzka;41;Ostróda;ostródzki;warmińsko-mazurskie
14-104;FUP Ostróda 1;Ostróda;Jana III Sobieskiego;3 B/32;Ostróda;ostródzki;warmińsko-mazurskie
14-100;FUP Ostróda 1;Ostróda;Stefana Jaracza;20;Ostróda;ostródzki;warmińsko-mazurskie
14-100;FUP Ostróda 1;Ostróda;Seweryna Pieniężnego;47 B;Ostróda;ostródzki;warmińsko-mazurskie
23-215;AP Ostrów;Ostrów;;30;Wilkołaz;kraśnicki;lubelskie
07-301;AP Ostrów Mazowiecka;Ostrów Mazowiecka;Tamkowa;28;Ostrów Mazowiecka;ostrowski;mazowieckie
07-300;UP Ostrów Mazowiecka 1;Ostrów Mazowiecka;Pocztowa;6;Ostrów Mazowiecka;ostrowski;mazowieckie
07-306;FUP Ostrów Mazowiecka 1;Brok;Warszawska;15;Brok;ostrowski;mazowieckie
07-310;FUP Ostrów Mazowiecka 1;Ostrów Mazowiecka;gen. Władysława Sikorskiego;131;Ostrów Mazowiecka;ostrowski;mazowieckie
07-303;FUP Ostrów Mazowiecka 1;Stary Lubotyń;;42 A;Stary Lubotyń;ostrowski;mazowieckie
07-311;FUP Ostrów Mazowiecka 1;Wąsewo;Zastawska;13;Wąsewo;ostrowski;mazowieckie
63-402;AP Ostrów Wielkopolski;Ostrów Wielkopolski;Długa;66;Ostrów Wielkopolski;ostrowski;wielkopolskie
63-400;AP Ostrów Wielkopolski;Ostrów Wielkopolski;Grabowska;87;Ostrów Wielkopolski;ostrowski;wielkopolskie
63-400;AP Ostrów Wielkopolski;Ostrów Wielkopolski;Krotoszyńska;143;Ostrów Wielkopolski;ostrowski;wielkopolskie
63-400;AP Ostrów Wielkopolski;Ostrów Wielkopolski;Orzechowa;4;Ostrów Wielkopolski;ostrowski;wielkopolskie
63-400;AP Ostrów Wielkopolski;Ostrów Wielkopolski;Targowa;1;Ostrów Wielkopolski;ostrowski;wielkopolskie
63-400;AP Ostrów Wielkopolski;Ostrów Wielkopolski;Żwirki;15D;Ostrów Wielkopolski;ostrowski;wielkopolskie
63-400;UP Ostrów Wielkopolski 1;Ostrów Wielkopolski;Kolejowa;22;Ostrów Wielkopolski;ostrowski;wielkopolskie
63-401;FUP Ostrów Wielkopolski 1;Ostrów Wielkopolski;Asnyka;2;Ostrów Wielkopolski;ostrowski;wielkopolskie
63-400;FUP Ostrów Wielkopolski 1;Ostrów Wielkopolski;Chłopickiego;23;Ostrów Wielkopolski;ostrowski;wielkopolskie
63-400;FUP Ostrów Wielkopolski 1;Ostrów Wielkopolski;Konopnickiej;30A;Ostrów Wielkopolski;ostrowski;wielkopolskie
63-400;FUP Ostrów Wielkopolski 1;Ostrów Wielkopolski;Aleja Powstańców Wielkopolskich;18;Ostrów Wielkopolski;ostrowski;wielkopolskie
63-410;UP Ostrów Wielkopolski 2;Ostrów Wielkopolski;Towarowa;3;Ostrów Wielkopolski;ostrowski;wielkopolskie
63-430;FUP Ostrów Wielkopolski 2;Odolanów;Bartosza;3;Odolanów;ostrowski;wielkopolskie
63-421;FUP Ostrów Wielkopolski 2;Przygodzice;Wrocławska;54;Przygodzice;ostrowski;wielkopolskie
63-440;FUP Ostrów Wielkopolski 2;Raszków;Pleszewska;12;Raszków;ostrowski;wielkopolskie
63-435;FUP Ostrów Wielkopolski 2;Sośnie;Wielkopolska;45;Sośnie;ostrowski;wielkopolskie
07-132;AP Ostrówek;Ostrówek;Fabryczna;64;Łochów;węgrowski;mazowieckie
05-205;AP Ostrówek;Ostrówek;Kolejowa;133;Klembów;wołomiński;mazowieckie
63-501;AP Ostrzeszów;Ostrzeszów;Armii Krajowej;5;Ostrzeszów;ostrzeszowski;wielkopolskie
63-500;AP Ostrzeszów;Ostrzeszów;Przemysłowa;15;Ostrzeszów;ostrzeszowski;wielkopolskie
63-500;UP Ostrzeszów 1;Ostrzeszów;Kolejowa;27;Ostrzeszów;ostrzeszowski;wielkopolskie
63-520;FUP Ostrzeszów 1;Grabów nad Prosną;Henryka Sienkiewicza;12;Grabów nad Prosną;ostrzeszowski;wielkopolskie
63-507;FUP Ostrzeszów 1;Kobyla Góra;Pocztowa;2;Kobyla Góra;ostrzeszowski;wielkopolskie
63-510;FUP Ostrzeszów 1;Mikstat;Odolanowska;2a;Mikstat;ostrzeszowski;wielkopolskie
63-500;FUP Ostrzeszów 1;Ostrzeszów;os. Osiedle Zamkowe;15;Ostrzeszów;ostrzeszowski;wielkopolskie
63-505;FUP Ostrzeszów 1;Stara Kuźnica;;3;Doruchów;ostrzeszowski;wielkopolskie
32-600;UP Oświęcim;Oświęcim;Władysława Jagiełły;14;Oświęcim;oświęcimski;małopolskie
32-660;FUP Oświęcim;Bobrek;Nadwiślańska;5;Chełmek;oświęcimski;małopolskie
32-620;FUP Oświęcim;Brzeszcze;Dworcowa;12;Brzeszcze;oświęcimski;małopolskie
32-620;FUP Oświęcim;Brzeszcze;Ofiar Oświęcimia;31;Brzeszcze;oświęcimski;małopolskie
32-660;FUP Oświęcim;Chełmek;Piastowska;24;Chełmek;oświęcimski;małopolskie
32-600;FUP Oświęcim;Grojec;Główna;1;Oświęcim;oświęcimski;małopolskie
32-620;FUP Oświęcim;Jawiszowice;Osiedle Paderewskiego;12;Brzeszcze;oświęcimski;małopolskie
32-608;FUP Oświęcim;Osiek;Główna;125;Osiek;oświęcimski;małopolskie
32-600;FUP Oświęcim;Oświęcim;Gen. Jarosława Dąbrowskiego;139;Oświęcim;oświęcimski;małopolskie
32-601;FUP Oświęcim;skrytki/przegródki;;;Oświęcim;oświęcimski;małopolskie
32-600;FUP Oświęcim;Oświęcim;Jana Kilińskiego;4;Oświęcim;oświęcimski;małopolskie
32-602;FUP Oświęcim;Oświęcim;Karola Olszewskiego;12;Oświęcim;oświęcimski;małopolskie
32-600;FUP Oświęcim;Oświęcim;Powstańców Śląskich;22;Oświęcim;oświęcimski;małopolskie
32-610;FUP Oświęcim;skrytki/przegródki;;;Oświęcim;oświęcimski;małopolskie
32-607;FUP Oświęcim;Polanka Wielka;Długa;61;Polanka Wielka;oświęcimski;małopolskie
32-641;FUP Oświęcim;Przeciszów;Długa;6;Przeciszów;oświęcimski;małopolskie
32-643;FUP Oświęcim;Włosienica;Józefa Suskiego;31;Oświęcim;oświęcimski;małopolskie
