Id|Kod|Miasto|Ulica|Numer domu|Numer lokalu|Wojewodztwo|Powiat|Gmina
1262338|05-083|Borzęcin Mały|Kosmowska|167||||
1860096|05-083|Feliksów|Jana Kujawskiego|14A||||
1831695|05-092|Dziekanów Polski|Szymczaka|14||||
1994911|05-092|Dąbrowa|Widokowa|30|B|||
1977606|05-092|Kiełpin|Ogrodowa|46|1|||
1970490|05-119|Michałów-Reginów|Warszawska|40B||||
1824301|05-120|Legionowo|Zwycięstwa|4|12|||
1842870|05-126|Nieporęt|Nowolipie|8||||
1901595|05-205|Ostrówek|Warszawska|18||||
1901594|05-205|Ostrówek|Warszawska|18||||
1332559|05-300|Mińsk Mazowiecki|Klonowa|21A|5|||
1893577|05-301|Mińsk Mazowiecki|Wiejska|19||||
1349236|05-311|Chrośla|Tulipanowa|7||||
1893007|05-400|Otwock|Wyspiańskiego|3|75|||
1813611|05-402|Otwock|Al.Wojska Polskiego|26||||
1758081|05-420|Józefów|Polna|19A|33|||
1969255|05-500|Józefosław|Korzystna|29||||
1379778|05-500|Piaseczno|Okrzei|17||||
1457804|05-500|Mysiadło|Polna|19X||||
1961823|05-500|Mysiadło|Polna|15b||||
1754475|05-502|Bobrowiec|Iglasta|19||||
1824069|05-504|Złotokłos|Piaseczyńska|53||||
1993348|05-506|Lesznowola|Poprzeczna|52R|2|||
1825281|05-509|Józefosław|Prowansji|6C||||
1951999|05-510|Konstancin-Jeziorna|Bema|2||||
1748655|05-515|Nawa Wola|Magnolii|3R|2|||
1949729|05-515|Nowa Wola|Pąsowej Róży|16|2|||
1995095|05-520|Konstancin-Jeziorna|Witaminowa|13||||
1992114|05-530|Góra Kalwaria|Kard. S.Wyszyńskiego|7D|13|||
1904387|05-532|Tomice|Mickiewicza|12||||
1932195|05-552|Łazy|Wiejska|37||||
1969258|05-660|Warka|Bielańska|15||||
1941114|05-800|Pruszków|Ul. Targowa|2a|27|||
1318317|05-800|Pruszków|Ołówkowa|1a|18|||
1623726|05-800|Raszyn|Reymonta|6a||||
1358089|05-802|Pruszków|Gościnna|5||||
1823670|05-807|Podkowa Leśna|Lisia|7||||
1977967|05-816|Reguły|Czarnieckiego|24|2|||
1949370|05-822|Milanówek|Szczepkowskiego|20||||
