ID|Komunikat|Kod_Źródło|Kod_Wynik|Miasto_Źródło|Miasto_Wynik|Ulica_Źródło|Ulica_Wynik|Budynek_Źródło|Budynek_Wynik|Lokal_Źródło|Lokal_Wynik|Wojewodztwo_Źródło|Wojewodztwo_Wynik|Powiat_Źródło|Powiat_Wynik|Gmina_Źródło|Gmina_Wynik
A1221301|Nazwa miejscowości jest wymagana|*37-450||*||*||*8||*22||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1221328|Nazwa miejscowości jest wymagana|*36-207||*||*Grabownica Starz.||*252 a||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1221342|Nazwa miejscowości jest wymagana|*31-831||*||*CIENISTA||*47B||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1221343|Nazwa miejscowości jest wymagana|*39-123||*||*||*136||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1314291|Nazwa miejscowości jest wymagana|*||*||*Łobzowska||*11||*||*||*||*|
A1236540|Nazwa miejscowości jest wymagana|*31-845||*||*OS. PRZY ARCE||*13||*62||*||*||*|
A1236625|Nazwa miejscowości jest wymagana|*30-058||*||*Lea||*100||*28||*||*||*|
A39278|Nazwa miejscowości jest wymagana|*31-962||*||*os.Krakowiaków||*4||*10||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
A1237850|Nazwa miejscowości jest wymagana|*33-158||*||*||*426||*||*||*||*|
A1237914|Nazwa miejscowości jest wymagana|*||*||*-l.||*||*||*||*||*|
A1237918|Nazwa miejscowości jest wymagana|*||*||*POLNA||*||*||*||*||*|
A1344224|Nazwa miejscowości jest wymagana|*34-200||*||*os. Na Stawach||*8||*36||*||*||*|
A1190350|Nazwa miejscowości jest wymagana|*34-600||*||*Piłsudskiego||*68||*27||*||*||*|
A1333192|Nazwa miejscowości jest wymagana|*98-338||*||*Północna||*21||*||*||*||*|
A1292502|Nazwa miejscowości jest wymagana|*32-861||*||*||*400||*||*MAŁOPOLSKIE||*||*|
A1190523|Nazwa miejscowości jest wymagana|*27-220||*||*Sosnowa||*5||*11||*||*||*|
A1253777|Nazwa miejscowości jest wymagana|*34-332||*||*||*434||*||*ŚLĄSKIE||*||*|
A1354809|Nazwa miejscowości jest wymagana|*59-140||*||*Klasztorna||*22||*||*||*||*|
A1256635|Nazwa miejscowości jest wymagana|*32-712||*||*Dębina||*23||*||*||*||*|
A1256645|Nazwa miejscowości jest wymagana|*36-203||*||*Izdebki||*85 a||*||*||*||*|
A1256666|Nazwa miejscowości jest wymagana|*||*||*Kostarowice||*165||*||*||*||*|
A1256688|Nazwa miejscowości jest wymagana|*||*||*Bodaki||*2||*||*||*||*|
A1256709|Nazwa miejscowości jest wymagana|*||*||*Sądkowa||*137||*||*||*||*|
A1333270|Nazwa miejscowości jest wymagana|*22-250||*||*||*||*||*||*||*|
A1257789|Nazwa miejscowości jest wymagana|*43-300||*||*Braci Gierymskich||*2||*29||*||*||*|
A1257805|Nazwa miejscowości jest wymagana|*||*||*11-go Listopada||*18||*25||*||*||*|
A17702|Nazwa miejscowości jest wymagana|*33-380||*||*Czarny Potok||*33||*16||*MAŁOPOLSKIE||*NOWOSĄDECKI||*KRYNICA-ZDRÓJ|
A17706|Nazwa miejscowości jest wymagana|*33-380||*||*Czarny Potok||*11||*2||*MAŁOPOLSKIE||*NOWOSĄDECKI||*KRYNICA-ZDRÓJ|
A17707|Nazwa miejscowości jest wymagana|*33-380||*||*Źródlana||*57||*30||*MAŁOPOLSKIE||*NOWOSĄDECKI||*KRYNICA-ZDRÓJ|
A17747|Nazwa miejscowości jest wymagana|*33-380||*||*Zielenieckiego||*45||*||*MAŁOPOLSKIE||*NOWOSĄDECKI||*KRYNICA-ZDRÓJ|
A8909|Nazwa miejscowości jest wymagana|*32-089||*||*Wielka Wieś||*162,woj||*||*MAŁOPOLSKIE||*KRAKÓW||*KRAKÓW|
