PNA;NAZWA JEDNOSTKI ORGANIZACYJNEJ;MIEJSCOWOŚĆ;ULICA;NR;GMINA;POWIAT;WOJEWÓDZTWO
30-900;Wydział Ekspedycyjno-Rozdzielczy Niepołomice;Niepołomice;Wodna;4;Niepołomice;wielicki;małopolskie
33-300;Wydział Terenowy Transportu Nowy Sącz;Nowy Sącz;Śniadeckich;13;Nowy Sącz;Nowy Sącz;małopolskie
37-700;Wydział Terenowy Transportu Przemyśl;Przemyśl;Wernyhory;23;Przemyśl;Przemyśl;podkarpackie
35-900;Wydział Ekspedycyjno-Rozdzielczy Rudna Mała;Głogów Małopolski;Lotniskowa;15;Głogów Małopolski;rzeszowski;podkarpackie
35-083;Wydział Terenowy Transportu Rzeszów;Rzeszów;Adama Matuszczaka;5;Rzeszów;Rzeszów;podkarpackie
33-100;Wydział Terenowy Transportu Tarnów;Tarnów;Mieczysława Jastruna;3;Tarnów;Tarnów;małopolskie
20-900;POL Region Dystrybucji Lublin;Lublin;Wacława Moritza;2;Lublin;Lublin;lubelskie
21-500;Wydział Terenowy Transportu Biała Podlaska;Biała Podlaska;Łomaska;43 D;Biała Podlaska;Biała Podlaska;lubelskie
25-313;Wydział Terenowy Transportu Kielce;Kielce;al. Solidarności;24;Kielce;Kielce;świętokrzyskie
25-900;Wydział Ekspedycyjno-Rozdzielczy w Kielcach;Kielce;al. Solidarności;24;Kielce;Kielce;świętokrzyskie
26-610;Dział Ekspedycyjno-Rozdzielczy w Radomiu;Radom;Władysława Beliny-Prażmowskiego;2;Radom;Radom;mazowieckie
20-900;Wydział Terenowy Transportu Lublin;Lublin;Wacława Moritza;2;Lublin;Lublin;lubelskie
20-900;Wydział Ekspedycyjno-Rozdzielczy w Lublinie;Lublin;Wacława Moritza;2;Lublin;Lublin;lubelskie
21-300;Dział Ekspedycyjno-Rozdzielczy w Radzyniu Podlaskim;Radzyń Podlaski;Jarosława Dąbrowskiego;18;Radzyń Podlaski;radzyński;lubelskie
22-400;Dział Ekspedycyjno-Rozdzielczy w Zamościu;Zamość;Karola Namysłowskiego;6;Zamość;Zamość;lubelskie
26-600;Wydział Terenowy Transportu Radom;Radom;Władysława Beliny-Prażmowskiego;2;Radom;Radom;mazowieckie
22-400;Wydział Terenowy Transportu Zamość;Zamość;Karola Namysłowskiego;6;Zamość;Zamość;lubelskie
